lead_id,user_id,course_id,lead_date,lead_status
82,3182,5,2026-04-07,lost
83,4184,1,2026-01-14,new
84,1616,3,2026-03-18,new
85,3025,1,2026-03-04,contacted
86,1414,4,2026-02-04,qualified
87,764,6,2026-02-01,lost
88,656,1,2026-03-05,contacted
89,4798,4,2026-01-07,new
90,3850,4,2026-02-28,contacted
91,4154,3,2026-01-18,lost
92,469,2,2026-03-03,lost
93,158,2,2026-04-03,new
94,1296,1,2026-01-19,new
95,498,1,2026-01-06,lost
96,4741,1,2026-01-28,new
97,2941,3,2026-03-23,new
98,3457,1,2026-03-09,new
99,374,5,2026-03-16,qualified
100,80,3,2026-04-14,qualified
101,1554,4,2026-01-28,lost
102,1670,2,2026-01-31,contacted
103,2132,3,2026-02-10,lost
104,4440,6,2026-04-08,new
105,466,1,2026-04-05,lost
106,249,2,2026-02-12,qualified
107,932,5,2026-03-08,qualified
108,1336,1,2026-03-24,contacted
109,4525,1,2026-01-30,new
110,1339,2,2026-03-10,qualified
111,1407,1,2026-01-08,lost
112,1091,3,2026-02-02,new
113,4210,2,2026-01-05,converted
114,743,6,2026-02-23,converted
115,2324,5,2026-03-31,qualified
116,3602,4,2026-01-15,converted
117,2124,4,2026-03-19,new
118,2095,5,2026-03-04,new
119,241,2,2026-03-07,new
120,2352,5,2026-03-26,qualified
121,1371,5,2026-02-09,new
122,1058,4,2026-03-01,converted
123,4817,3,2026-04-04,new
124,200,2,2026-01-25,contacted
125,2281,3,2026-01-17,lost
126,4750,5,2026-01-13,contacted
127,2221,1,2026-01-15,contacted
128,4772,5,2026-03-20,lost
129,2820,2,2026-03-15,contacted
130,3151,1,2026-01-05,contacted
131,4257,1,2026-03-15,contacted
132,3108,1,2026-03-22,qualified
133,1974,3,2026-03-31,converted
134,1376,1,2026-03-01,lost
135,3969,6,2026-02-04,contacted
136,4063,3,2026-03-31,contacted
137,4446,1,2026-02-10,qualified
138,3558,4,2026-02-20,converted
139,965,6,2026-04-05,new
140,180,4,2026-03-23,contacted
141,3699,1,2026-02-20,lost
142,3822,6,2026-03-14,converted
143,4879,5,2026-03-03,new
144,3900,1,2026-02-09,contacted
145,4488,1,2026-02-05,contacted
146,3239,3,2026-04-12,new
147,2975,1,2026-03-09,lost
148,3581,5,2026-03-16,lost
149,2888,2,2026-02-15,lost
150,2576,6,2026-02-21,new
151,1420,3,2026-03-19,new
152,3908,1,2026-03-26,contacted
153,4674,1,2026-02-03,contacted
154,4903,3,2026-01-25,lost
155,1861,5,2026-03-05,new
156,9,5,2026-01-17,new
157,2895,2,2026-01-05,contacted
158,2848,1,2026-03-10,qualified
159,3665,1,2026-02-06,qualified
160,145,4,2026-02-11,lost
161,2105,1,2026-01-29,new
162,3144,3,2026-01-30,lost
163,842,4,2026-03-22,contacted
164,1129,6,2026-03-04,contacted
165,152,2,2026-04-06,converted
166,3592,2,2026-02-06,contacted
167,1053,4,2026-04-15,lost
168,1591,4,2026-02-14,contacted
169,3009,2,2026-02-03,qualified
170,2030,6,2026-03-02,lost
171,3419,5,2026-02-22,converted
172,1808,2,2026-02-21,lost
173,2697,2,2026-03-17,qualified
174,3040,3,2026-02-22,contacted
175,473,5,2026-02-20,lost
176,3290,1,2026-03-01,lost
177,4075,4,2026-03-10,new
178,3497,4,2026-01-16,qualified
179,280,2,2026-03-14,lost
180,1742,4,2026-04-02,qualified
181,4625,6,2026-01-10,contacted
182,2887,1,2026-04-03,converted
183,1942,2,2026-03-10,new
184,101,3,2026-01-29,contacted
185,2805,6,2026-01-05,lost
186,3571,6,2026-02-05,contacted
187,3685,3,2026-01-07,lost
188,3662,4,2026-02-22,new
189,531,3,2026-01-23,contacted
190,1887,3,2026-03-05,new
191,682,2,2026-02-02,converted
192,3795,1,2026-02-23,qualified
193,3945,2,2026-01-06,contacted
194,4667,3,2026-03-18,new
195,2019,1,2026-03-01,new
196,1097,6,2026-01-21,qualified
197,830,1,2026-03-05,new
198,2806,2,2026-02-09,qualified
199,3830,3,2026-03-06,qualified
200,4382,4,2026-01-21,lost
201,3892,1,2026-02-22,lost
202,765,2,2026-03-21,qualified
203,2768,6,2026-03-05,contacted
204,4329,2,2026-01-24,lost
205,3296,2,2026-02-23,lost
206,2195,5,2026-01-07,new
207,2358,1,2026-02-16,converted
208,3426,3,2026-03-02,new
209,3980,2,2026-02-23,new
210,912,2,2026-03-13,contacted
211,3146,2,2026-03-26,converted
212,1000,1,2026-02-23,qualified
213,3654,2,2026-02-10,lost
214,2484,1,2026-02-19,contacted
215,4077,5,2026-02-15,qualified
216,2371,2,2026-01-19,contacted
217,4839,3,2026-02-06,lost
218,34,6,2026-03-25,new
219,3790,4,2026-01-15,contacted
220,1021,1,2026-01-24,new
221,1648,6,2026-01-28,converted
222,734,2,2026-03-09,qualified
223,4583,1,2026-03-25,qualified
224,3275,5,2026-04-08,qualified
225,1621,3,2026-04-12,converted
226,3136,3,2026-03-10,converted
227,2690,2,2026-04-02,lost
228,2708,3,2026-04-02,contacted
229,298,2,2026-03-18,new
230,2340,6,2026-03-31,converted
231,654,1,2026-03-21,qualified
232,3775,6,2026-01-21,contacted
233,1256,3,2026-04-03,qualified
234,4521,5,2026-04-06,converted
235,231,4,2026-03-06,contacted
236,3277,4,2026-01-19,qualified
237,3231,2,2026-04-08,lost
238,692,2,2026-02-24,qualified
239,2755,1,2026-01-31,contacted
240,4864,5,2026-03-31,converted
241,970,5,2026-03-19,converted
242,634,3,2026-03-06,lost
243,4093,1,2026-03-03,lost
244,4078,2,2026-02-04,contacted
245,1322,4,2026-04-05,converted
246,1832,3,2026-01-16,contacted
247,2179,5,2026-02-19,lost
248,1418,6,2026-02-04,converted
249,1783,1,2026-02-05,lost
250,4716,3,2026-02-05,lost
251,4702,3,2026-04-13,lost
252,4119,2,2026-02-26,contacted
253,1653,1,2026-03-06,lost
254,1484,1,2026-02-19,new
255,2276,6,2026-03-30,qualified
256,878,2,2026-03-19,new
257,3526,3,2026-03-25,qualified
258,2017,6,2026-01-11,lost
259,427,5,2026-01-08,converted
260,627,1,2026-04-05,contacted
261,1590,3,2026-02-25,qualified
262,2224,3,2026-04-03,qualified
263,2218,5,2026-02-04,converted
264,4484,4,2026-03-20,qualified
265,1486,4,2026-03-29,lost
266,1740,2,2026-02-09,converted
267,2481,5,2026-02-27,contacted
268,2585,1,2026-02-27,converted
269,2894,1,2026-01-21,converted
270,150,2,2026-03-20,converted
271,677,1,2026-02-03,contacted
272,1262,2,2026-04-13,qualified
273,4918,5,2026-01-26,converted
274,13,6,2026-02-16,contacted
275,1834,2,2026-01-31,lost
276,3249,2,2026-02-10,new
277,1492,2,2026-02-19,new
278,2728,2,2026-02-08,qualified
279,3687,1,2026-01-08,qualified
280,1425,6,2026-03-25,contacted
281,4606,1,2026-03-25,qualified
282,4596,3,2026-03-30,qualified
283,732,1,2026-01-30,lost
284,1232,5,2026-04-14,lost
285,1635,4,2026-01-23,qualified
286,3937,6,2026-03-26,qualified
287,1211,5,2026-02-18,new
288,3269,2,2026-01-30,qualified
289,1935,2,2026-01-26,qualified
290,554,4,2026-03-03,qualified
291,492,2,2026-03-08,contacted
292,2963,3,2026-02-01,lost
293,2330,1,2026-03-10,new
294,2196,1,2026-02-17,converted
295,3065,3,2026-04-14,new
296,658,3,2026-02-16,converted
297,2375,4,2026-02-10,qualified
298,2226,1,2026-03-11,qualified
299,4265,3,2026-01-21,contacted
300,1171,1,2026-02-13,new
301,133,1,2026-02-11,contacted
302,472,2,2026-03-30,new
303,3226,1,2026-03-06,lost
304,1406,2,2026-01-13,contacted
305,2877,2,2026-03-22,lost
306,4505,2,2026-03-20,contacted
307,4693,1,2026-03-06,converted
308,2827,1,2026-03-25,qualified
309,288,1,2026-01-20,new
310,1870,1,2026-01-06,qualified
311,3115,4,2026-03-17,contacted
312,3626,2,2026-02-16,contacted
313,2313,2,2026-02-15,qualified
314,4924,2,2026-03-22,lost
315,1619,4,2026-03-02,converted
316,995,5,2026-03-26,qualified
317,1804,4,2026-04-02,converted
318,2643,4,2026-03-12,converted
319,4803,3,2026-02-03,converted
320,3536,4,2026-01-17,qualified
321,4832,3,2026-01-23,new
322,3912,1,2026-01-11,contacted
323,2108,1,2026-01-13,lost
324,3045,2,2026-03-28,qualified
325,417,6,2026-02-27,new
326,978,3,2026-03-31,qualified
327,2418,4,2026-03-27,new
328,506,2,2026-03-06,lost
329,4153,2,2026-04-01,new
330,4256,1,2026-01-06,lost
331,3942,1,2026-02-23,lost
332,415,5,2026-03-20,new
333,4149,3,2026-02-04,qualified
334,1184,2,2026-02-06,lost
335,486,5,2026-03-23,contacted
336,894,2,2026-03-25,new
337,806,6,2026-01-15,contacted
338,556,2,2026-02-06,qualified
339,3826,2,2026-01-11,qualified
340,1198,2,2026-02-04,new
341,4254,1,2026-02-21,qualified
342,4059,1,2026-02-20,contacted
343,1294,4,2026-03-23,lost
344,2222,5,2026-04-06,contacted
345,3505,5,2026-02-26,lost
346,3655,1,2026-03-25,qualified
347,4759,3,2026-01-23,lost
348,3007,1,2026-03-26,qualified
349,2094,1,2026-04-04,lost
350,2188,4,2026-01-10,contacted
351,3037,3,2026-02-22,lost
352,3919,1,2026-03-18,qualified
353,1273,1,2026-02-23,qualified
354,291,6,2026-03-26,qualified
355,4828,1,2026-04-09,lost
356,253,3,2026-01-16,lost
357,3246,3,2026-01-27,contacted
358,351,1,2026-02-27,lost
359,1188,1,2026-03-14,lost
360,1962,2,2026-04-14,converted
361,423,5,2026-03-04,lost
362,91,3,2026-02-09,lost
363,3730,4,2026-01-07,contacted
364,2237,6,2026-03-03,lost
365,671,5,2026-04-02,qualified
366,3041,3,2026-02-28,converted
367,27,3,2026-03-02,contacted
368,430,4,2026-01-21,new
369,684,4,2026-02-12,new
370,4464,3,2026-04-04,lost
371,3946,4,2026-03-13,converted
372,3524,1,2026-02-28,new
373,1542,3,2026-02-18,lost
374,2032,2,2026-03-21,lost
375,2233,1,2026-01-05,lost
376,4121,1,2026-01-25,contacted
377,3236,4,2026-03-28,lost
378,255,3,2026-01-25,new
379,1030,2,2026-02-25,lost
380,4393,3,2026-03-27,contacted
381,3801,3,2026-02-16,qualified
382,4311,1,2026-02-25,lost
383,2510,4,2026-03-12,contacted
384,2293,5,2026-02-17,contacted
385,1324,5,2026-02-05,lost
386,1551,4,2026-01-14,qualified
387,4648,3,2026-03-09,qualified
388,316,1,2026-03-24,contacted
389,1243,2,2026-03-14,new
390,2451,1,2026-03-13,qualified
391,1579,6,2026-02-01,new
392,4626,1,2026-02-26,converted
393,3117,1,2026-02-24,new
394,70,6,2026-02-26,qualified
395,860,6,2026-01-08,new
396,2754,5,2026-03-24,new
397,1633,1,2026-01-21,lost
398,1651,1,2026-03-12,lost
399,3861,2,2026-03-19,new
400,3107,1,2026-02-20,new
401,1075,1,2026-03-01,new
402,4002,3,2026-01-27,lost
403,788,6,2026-01-22,qualified
404,2606,2,2026-01-05,new
405,3631,4,2026-02-08,qualified
406,2122,4,2026-03-09,lost
407,1875,2,2026-03-03,converted
408,812,4,2026-04-09,converted
409,388,1,2026-03-04,contacted
410,2883,1,2026-01-05,new
411,1176,4,2026-01-07,contacted
412,3198,1,2026-03-12,lost
413,2624,6,2026-02-10,converted
414,1352,1,2026-03-28,qualified
415,411,3,2026-02-02,contacted
416,4213,2,2026-04-03,qualified
417,110,1,2026-02-06,contacted
418,4996,1,2026-04-14,contacted
419,3430,4,2026-03-06,qualified
420,2810,5,2026-04-07,new
421,2595,5,2026-04-04,contacted
422,2837,3,2026-01-08,lost
423,2373,5,2026-01-18,new
424,1236,4,2026-04-05,new
425,2147,4,2026-02-06,contacted
426,4976,3,2026-01-26,converted
427,600,4,2026-02-21,lost
428,1435,5,2026-01-07,new
429,4997,2,2026-04-01,qualified
430,539,5,2026-03-30,contacted
431,722,3,2026-01-27,lost
432,4411,1,2026-03-13,lost
433,1873,1,2026-01-25,converted
434,2846,2,2026-04-15,qualified
435,2054,3,2026-02-16,converted
436,2908,5,2026-04-09,converted
437,2255,1,2026-03-30,converted
438,3913,5,2026-01-30,qualified
439,178,5,2026-02-14,contacted
440,2891,1,2026-04-13,contacted
441,3674,5,2026-02-11,new
442,81,6,2026-04-02,contacted
443,2562,4,2026-01-15,lost
444,1724,5,2026-02-02,lost
445,1618,6,2026-03-05,converted
446,1655,4,2026-03-12,new
447,2329,2,2026-03-10,new
448,4614,5,2026-03-06,lost
449,222,4,2026-01-23,contacted
450,94,3,2026-02-19,new
451,2610,2,2026-02-22,converted
452,3383,4,2026-01-26,lost
453,4416,1,2026-03-23,qualified
454,1398,6,2026-03-02,lost
455,4687,2,2026-01-18,lost
456,1293,1,2026-02-17,lost
457,2165,3,2026-01-20,lost
458,2940,1,2026-04-11,new
459,3669,4,2026-03-22,lost
460,813,6,2026-01-16,new
461,1259,5,2026-02-28,new
462,890,1,2026-02-24,converted
463,1452,1,2026-02-12,qualified
464,3317,5,2026-02-06,lost
465,2560,6,2026-02-06,lost
466,3575,3,2026-02-02,converted
467,2681,3,2026-03-14,converted
468,4652,2,2026-03-15,qualified
469,4812,6,2026-02-04,contacted
470,4680,4,2026-03-25,new
471,2965,2,2026-02-04,qualified
472,2673,2,2026-04-03,contacted
473,562,6,2026-02-19,qualified
474,2779,1,2026-04-11,lost
475,2949,2,2026-03-22,converted
476,2818,3,2026-02-25,lost
477,2759,1,2026-01-14,lost
478,1757,1,2026-04-02,contacted
479,725,5,2026-03-19,new
480,220,6,2026-02-14,contacted
481,4140,5,2026-04-09,lost
482,3958,6,2026-03-22,contacted
483,1589,3,2026-01-07,lost
484,3348,5,2026-03-04,qualified
485,3971,2,2026-02-25,new
486,4708,4,2026-02-07,contacted
487,44,6,2026-02-22,qualified
488,3002,2,2026-02-01,qualified
489,211,2,2026-03-28,lost
490,678,3,2026-04-01,lost
491,355,1,2026-04-10,qualified
492,1434,1,2026-01-17,lost
493,950,5,2026-04-11,qualified
494,2844,6,2026-04-12,converted
495,578,2,2026-04-11,contacted
496,3929,1,2026-03-14,lost
497,545,1,2026-03-12,contacted
498,368,6,2026-03-06,contacted
499,1613,3,2026-03-05,contacted
500,3551,2,2026-03-16,qualified
501,3717,3,2026-01-28,contacted
502,3780,2,2026-03-08,contacted
503,136,3,2026-03-31,converted
504,4481,5,2026-03-06,lost
505,1438,3,2026-01-27,lost
506,48,4,2026-02-03,lost
507,1361,2,2026-03-05,converted
508,735,4,2026-01-22,qualified
509,1535,4,2026-04-10,contacted
510,2005,1,2026-03-01,converted
511,3796,3,2026-02-26,lost
512,2520,2,2026-01-11,qualified
513,1973,5,2026-04-11,qualified
514,997,3,2026-03-14,qualified
515,62,6,2026-04-06,converted
516,1109,1,2026-03-17,contacted
517,2406,5,2026-03-24,converted
518,96,4,2026-02-25,converted
519,479,5,2026-01-08,lost
520,4360,2,2026-02-07,qualified
521,4113,3,2026-03-14,contacted
522,3708,5,2026-02-06,new
523,1102,2,2026-03-14,new
524,2747,2,2026-02-11,lost
525,2171,3,2026-04-12,qualified
526,323,3,2026-01-30,new
527,4255,2,2026-01-05,contacted
528,3143,2,2026-01-08,converted
529,3538,2,2026-02-12,contacted
530,4926,5,2026-02-27,converted
531,2925,4,2026-04-04,contacted
532,1150,5,2026-02-06,qualified
533,3618,6,2026-02-06,new
534,292,3,2026-03-17,qualified
535,3750,1,2026-01-24,lost
536,3587,1,2026-01-20,contacted
537,534,2,2026-01-25,qualified
538,3608,6,2026-02-18,lost
539,2649,3,2026-04-04,lost
540,4811,2,2026-04-01,lost
541,1984,2,2026-03-27,contacted
542,2933,3,2026-03-07,qualified
543,1537,4,2026-02-04,converted
544,4535,1,2026-02-15,converted
545,4173,6,2026-01-16,converted
546,3361,3,2026-03-10,contacted
547,3666,1,2026-03-18,lost
548,4006,6,2026-01-07,lost
549,3627,1,2026-04-04,new
550,587,6,2026-01-13,lost
551,3257,6,2026-02-24,lost
552,2299,4,2026-01-20,contacted
553,3989,5,2026-04-02,new
554,585,2,2026-03-23,lost
555,2424,6,2026-01-07,new
556,1392,3,2026-04-12,new
557,4526,4,2026-04-11,qualified
558,4921,6,2026-01-28,new
559,4801,6,2026-03-18,converted
560,3241,5,2026-01-17,qualified
561,4282,2,2026-01-06,qualified
562,3339,6,2026-03-16,converted
563,3221,4,2026-01-25,qualified
564,2112,6,2026-01-23,contacted
565,1175,4,2026-04-03,lost
566,4863,2,2026-02-20,qualified
567,3812,2,2026-01-26,contacted
568,1868,3,2026-03-20,lost
569,2615,5,2026-02-06,lost
570,3867,2,2026-02-05,lost
571,4886,3,2026-03-09,converted
572,3779,2,2026-03-30,lost
573,3847,5,2026-02-12,lost
574,2417,3,2026-03-29,converted
575,71,1,2026-03-17,new
576,4881,1,2026-02-15,contacted
577,1127,1,2026-04-15,lost
578,4025,3,2026-01-13,qualified
579,3251,1,2026-01-29,new
580,3902,1,2026-04-03,contacted
581,1096,6,2026-04-11,contacted
582,4546,5,2026-01-06,qualified
583,1213,3,2026-01-23,lost
584,3922,6,2026-01-24,converted
585,1426,1,2026-04-07,lost
586,3067,4,2026-03-15,lost
587,4520,4,2026-01-21,qualified
588,2101,3,2026-04-03,contacted
589,808,2,2026-03-13,contacted
590,4744,3,2026-04-08,lost
591,3751,2,2026-03-29,new
592,1363,4,2026-01-07,qualified
593,2318,1,2026-04-01,lost
594,4582,1,2026-02-24,qualified
595,4742,1,2026-03-27,converted
596,1026,2,2026-01-30,lost
597,3110,3,2026-03-01,contacted
598,2111,1,2026-04-14,qualified
599,1042,5,2026-03-09,lost
600,1877,2,2026-01-12,contacted
601,882,1,2026-03-26,new
602,4300,4,2026-04-09,qualified
603,1193,1,2026-02-10,converted
604,4588,4,2026-04-11,qualified
605,4511,4,2026-01-31,converted
606,3671,1,2026-02-18,lost
607,625,1,2026-01-08,new
608,2797,2,2026-03-31,lost
609,4292,1,2026-04-04,qualified
610,4969,1,2026-04-10,contacted
611,234,2,2026-04-02,lost
612,4567,2,2026-04-13,lost
613,1663,3,2026-02-10,new
614,416,4,2026-04-10,converted
615,4247,3,2026-03-16,lost
616,2174,1,2026-02-06,converted
617,1457,1,2026-02-04,contacted
618,747,5,2026-02-28,converted
619,18,3,2026-01-16,contacted
620,1201,5,2026-01-15,new
621,1700,2,2026-04-02,lost
622,3254,4,2026-03-17,lost
623,597,3,2026-02-05,qualified
624,3227,2,2026-03-02,qualified
625,4406,3,2026-02-11,new
626,4720,3,2026-03-05,lost
627,1506,1,2026-03-31,qualified
628,1413,2,2026-04-12,qualified
629,1966,5,2026-01-23,qualified
630,372,6,2026-03-29,converted
631,1341,2,2026-03-01,lost
632,599,2,2026-01-18,lost
633,239,1,2026-02-06,converted
634,3401,4,2026-01-14,qualified
635,2068,2,2026-03-25,new
636,811,6,2026-03-09,new
637,1095,2,2026-03-09,lost
638,4325,2,2026-03-07,contacted
639,4761,4,2026-03-13,qualified
640,3677,5,2026-04-05,contacted
641,3465,3,2026-04-06,contacted
642,3104,3,2026-02-16,qualified
643,2750,6,2026-03-25,converted
644,2296,1,2026-03-04,lost
645,4193,6,2026-02-25,converted
646,3709,1,2026-04-11,converted
647,3019,5,2026-01-23,contacted
648,4253,4,2026-01-25,contacted
649,804,2,2026-01-26,lost
650,4191,5,2026-01-13,converted
651,3706,1,2026-01-13,qualified
652,752,2,2026-03-18,converted
653,4645,3,2026-01-31,new
654,2532,2,2026-01-21,contacted
655,622,4,2026-02-17,lost
656,2298,1,2026-02-18,qualified
657,3829,1,2026-01-12,new
658,567,1,2026-03-25,contacted
659,1136,1,2026-01-22,new
660,1205,3,2026-02-06,lost
661,1048,4,2026-01-05,converted
662,52,6,2026-03-21,converted
663,3652,5,2026-01-10,lost
664,1045,1,2026-02-14,qualified
665,2182,3,2026-02-28,qualified
666,2689,1,2026-01-09,new
667,535,2,2026-03-04,contacted
668,3185,3,2026-03-25,contacted
669,3858,1,2026-01-22,lost
670,444,1,2026-02-22,converted
671,3605,6,2026-03-27,qualified
672,196,3,2026-03-10,lost
673,1116,3,2026-03-28,new
674,766,1,2026-02-27,lost
675,1946,2,2026-03-06,lost
676,3248,5,2026-01-12,qualified
677,3003,1,2026-01-07,contacted
678,1433,2,2026-01-29,converted
679,4201,1,2026-03-14,lost
680,3096,3,2026-02-28,converted
681,2923,1,2026-02-13,lost
682,645,5,2026-03-28,converted
683,1050,5,2026-03-27,contacted
684,3746,5,2026-02-23,new
685,4094,2,2026-04-09,contacted
686,4404,5,2026-02-06,new
687,121,3,2026-01-22,qualified
688,2053,2,2026-03-02,lost
689,4259,4,2026-01-20,qualified
690,4889,1,2026-03-25,contacted
691,4335,1,2026-02-11,converted
692,4692,4,2026-02-14,new
693,135,2,2026-01-11,contacted
694,2461,3,2026-03-23,lost
695,1955,2,2026-02-26,lost
696,2464,5,2026-03-08,qualified
697,185,6,2026-04-03,new
698,1393,6,2026-02-05,lost
699,2277,2,2026-02-11,new
700,512,1,2026-01-26,new
701,4730,3,2026-01-20,lost
702,4055,1,2026-02-25,contacted
703,3138,1,2026-02-02,contacted
704,2670,3,2026-01-20,qualified
705,4774,3,2026-03-21,converted
706,4862,6,2026-01-21,converted
707,2118,1,2026-04-15,qualified
708,252,2,2026-03-09,contacted
709,3527,1,2026-04-05,contacted
710,3560,6,2026-04-03,contacted
711,4012,5,2026-01-17,qualified
712,1508,5,2026-03-17,lost
713,123,6,2026-03-01,qualified
714,4260,3,2026-01-09,qualified
715,3334,3,2026-01-16,contacted
716,1872,2,2026-02-14,qualified
717,3693,3,2026-01-07,contacted
718,568,3,2026-04-13,qualified
719,1372,3,2026-02-06,lost
720,3186,6,2026-03-31,lost
721,3956,6,2026-02-23,qualified
722,1057,5,2026-03-01,qualified
723,857,4,2026-01-13,contacted
724,3839,4,2026-03-27,new
725,2861,1,2026-02-23,lost
726,4770,1,2026-02-02,contacted
727,777,4,2026-02-12,lost
728,721,4,2026-04-05,lost
729,2711,1,2026-04-14,converted
730,2655,6,2026-02-18,converted
731,4878,1,2026-01-21,new
732,603,2,2026-03-01,converted
733,3823,4,2026-04-12,lost
734,1245,1,2026-02-19,lost
735,4846,1,2026-03-12,new
736,4842,2,2026-03-14,converted
737,319,5,2026-01-18,new
738,829,2,2026-03-12,lost
739,3264,4,2026-01-27,new
740,275,3,2026-04-08,lost
741,2665,1,2026-03-06,qualified
742,550,6,2026-01-27,contacted
743,3642,1,2026-01-31,new
744,4054,6,2026-02-27,qualified
745,4893,3,2026-01-14,new
746,2935,6,2026-04-03,qualified
747,606,1,2026-03-22,lost
748,897,3,2026-01-20,lost
749,528,1,2026-02-14,lost
750,4608,1,2026-04-12,new
751,2348,4,2026-02-28,contacted
752,3440,1,2026-04-15,contacted
753,4999,3,2026-03-06,converted
754,4827,1,2026-03-31,converted
755,3923,2,2026-03-26,contacted
756,299,5,2026-04-01,new
757,2120,3,2026-04-14,converted
758,2537,4,2026-02-22,converted
759,4204,4,2026-03-18,converted
760,3255,5,2026-02-25,lost
761,3726,2,2026-01-06,qualified
762,1261,4,2026-04-10,new
763,1559,6,2026-02-23,qualified
764,3270,4,2026-03-31,qualified
765,4047,3,2026-02-16,qualified
766,757,4,2026-03-22,qualified
767,1011,4,2026-01-12,contacted
768,2795,4,2026-03-04,contacted
769,2906,1,2026-03-10,qualified
770,1871,1,2026-03-26,new
771,2230,5,2026-01-16,qualified
772,1174,2,2026-01-08,lost
773,1833,4,2026-03-22,lost
774,377,2,2026-04-09,qualified
775,3854,3,2026-02-14,qualified
776,3617,1,2026-01-11,new
777,799,1,2026-04-01,lost
778,379,6,2026-04-02,qualified
779,1159,6,2026-03-14,qualified
780,3820,4,2026-03-14,converted
781,2793,3,2026-03-26,qualified
782,2241,4,2026-02-03,new
783,4036,4,2026-03-18,contacted
784,2663,3,2026-01-10,qualified
785,4013,1,2026-04-03,qualified
786,2958,4,2026-01-23,converted
787,3928,5,2026-03-25,qualified
788,1039,6,2026-03-30,lost
789,3260,1,2026-03-11,qualified
790,1345,4,2026-01-14,qualified
791,2506,3,2026-01-20,qualified
792,1722,3,2026-02-10,qualified
793,4664,1,2026-03-24,qualified
794,176,2,2026-03-22,contacted
795,4894,2,2026-03-22,converted
796,1910,2,2026-02-05,contacted
797,46,4,2026-02-20,new
798,3410,4,2026-03-17,new
799,4675,3,2026-02-16,new
800,1076,6,2026-03-27,qualified
801,2830,2,2026-02-09,contacted
802,1505,2,2026-01-30,new
803,2310,4,2026-01-14,qualified
804,1437,1,2026-02-04,lost
805,2419,2,2026-04-11,new
806,3987,2,2026-02-02,qualified
807,3099,1,2026-01-09,lost
808,4589,5,2026-03-22,converted
809,284,2,2026-01-05,lost
810,4919,3,2026-04-01,contacted
811,843,1,2026-01-07,lost
812,1514,4,2026-03-12,qualified
813,1169,2,2026-03-16,contacted
814,1593,4,2026-04-14,converted
815,3461,2,2026-02-08,qualified
816,3166,1,2026-01-19,converted
817,2285,3,2026-03-12,lost
818,3576,1,2026-04-07,lost
819,4871,3,2026-02-03,lost
